Issue Type,Summary,Description,Epic Link,Assignee,Reviewer,Blocked By,Labels,Fix Version,Status
Epic,"Day 6-7 — The entitlement, properly","WHAT: Office staff become customers with status='office_staff'; the free weekday cup is re-keyed to customer_id, zeroes exactly one unit not a whole order, and searchCustomer stops leaking email and full phone. WHY: CLAUDE.md §4.2/§4.3 — the FK today points at the 3-row staff table so the ~63 office staff can never receive it, and the current entitlement zeroes the whole order. DONE WHEN: a barista gives a named office-staff member their cup in ≤3 taps; a second cup the same day is refused; a second paid drink on that order is still charged. SPEC: 05-the-two-week-plan.md Day 6-7.",,,,,money;privacy,Week 2,Blocked — depends on Day 5
Story,Re-key the entitlement to customer_id with automatic matching,"WHAT: office staff become customers rows with status='office_staff'; entitlement table keyed to customer_id, UNIQUE(customer_id, day); automatic on a matched customer, no tap, no free-text box. WHY: CLAUDE.md §4.2 — today it's driven from a free-text input with no eligibility lookup at all, and the FK rejects the ~63 office staff outright. DONE WHEN: ENTITLEMENT_USED / NOT_ELIGIBLE are real codes; a second cup the same day is refused. SPEC: CLAUDE.md §4.2; 05-the-two-week-plan.md Day 6-7.","Day 6-7 — The entitlement, properly",Nikao,Mia,Write the Day 5 substrate migration,money,Week 2,To Do
Story,Zero exactly one unit of one eligible line — not the whole order,"WHAT: fix orders.ts:619, which today sets totalZar: 0 on the entire order. WHY: CLAUDE.md §4.3 — a staff member's second paid drink is also free today. DONE WHEN: a second paid drink on an entitlement order is still charged. SPEC: CLAUDE.md §4.3.","Day 6-7 — The entitlement, properly",Nikao,Mia,Re-key the entitlement to customer_id with automatic matching,money,Week 2,To Do
Story,Stop searchCustomer leaking email and full phone,WHAT: customers.ts:29-31/:45-47 selects and returns both email and the full phone number. WHY: CLAUDE.md §4.16 / REQ-142 forbids it — should be prefix-match name plus last-4 phone only. DONE WHEN: the response payload contains neither field. SPEC: CLAUDE.md §4.16.,"Day 6-7 — The entitlement, properly",Mia,Nikao,,privacy,Week 2,To Do
Epic,Day 8 — R0 orders and the weekday deduction,"WHAT: a net-R0 weekday order writes no payment row and sends nothing to a terminal; weekday deduction stops touching cups and lids. WHY: CLAUDE.md §4.4/§4.15 — createOrder mints a Yoco checkout and a payments row unconditionally today, and deductForOrder deducts cups/lids even though people bring their own mugs on weekdays. DONE WHEN: a weekday order produces zero rows in payments and no cup or lid movement. SPEC: 05-the-two-week-plan.md Day 8.",,,,,money;stock,Week 2,Blocked — depends on Day 6-7
Story,Stop minting a payment for net-R0 weekday orders,WHAT: createOrder should skip the Yoco checkout and the payments insert when the order total is zero (payment_mode='free'). WHY: CLAUDE.md §4.4 — today it's unconditional regardless of total. DONE WHEN: a weekday order produces zero rows in payments and no terminal call. SPEC: CLAUDE.md §4.4.,Day 8 — R0 orders and the weekday deduction,Nikao,Mia,Zero exactly one unit of one eligible line — not the whole order,money,Week 2,To Do
Story,Stop deducting cups and lids on weekdays,WHAT: deductForOrder iterates every recipe ingredient unconditionally today; weekday stock_movements must contain neither cup nor lid rows. WHY: CLAUDE.md §4.15 / REQ-125 — people bring their own mugs on weekdays. DONE WHEN: a weekday order writes no cup or lid movement. SPEC: CLAUDE.md §4.15.,Day 8 — R0 orders and the weekday deduction,Nikao,Mia,,stock,Week 2,To Do
Epic,Day 9-10 — Honest money,"WHAT: rounding happens exactly once, half-up, per order at order_cogs; a missing cost input names the offending ingredient instead of vanishing; net never renders green on an estimate. WHY: CLAUDE.md §4.12-14 — three reports currently disagree by cents on identical data, a missing input makes profit look better, and the seed data is entirely estimates so a green flag on guessed numbers is the shipping default. DONE WHEN: FIXTURE-A and FIXTURE-B pass; day, week and month figures agree to the cent over the same data. SPEC: 05-the-two-week-plan.md Day 9-10.",,,,,money;reports,Week 2,Blocked — depends on Day 5 (fixtures) and Day 8
Story,Persist order_cogs as an integer in the same transaction as deduction,"WHAT: a real order_cogs column/field, written once per order, half-up rounded. WHY: CLAUDE.md §4.12 / REQ-106 — today COGS rounds per period (day/week/month), not per order, so three reports can disagree on identical data. DONE WHEN: day, week and month figures are sums of the same per-order integers. SPEC: CLAUDE.md §4.12.",Day 9-10 — Honest money,Mia,Nikao,Write FIXTURE-A and FIXTURE-B by hand,money,Week 2,To Do
Story,Rewrite the four period queries to sum order_cogs integers,"WHAT: monthly-pnl.ts, export-csv.ts, generate-weekly-pnl.ts and 0004_cogs_views.sql all currently compute their own period-grain rounding; rewrite each to sum the persisted per-order integer. WHY: CLAUDE.md §4.12. DONE WHEN: all four report the same figure for the same underlying data. SPEC: CLAUDE.md §4.12.",Day 9-10 — Honest money,Mia,Nikao,Persist order_cogs as an integer in the same transaction as deduction,money;reports,Week 2,To Do
Story,Replace the silent-drop cost filter with a named refusal,"WHAT: 0004_cogs_views.sql:29 and three report files carry AND il.unit_cost_zar IS NOT NULL, which silently drops a missing cost input. WHY: CLAUDE.md §4.13 — §7.0.2 calls the refusal rule NOT OPTIONAL; today a missing input makes profit look better with no ingredient named. DONE WHEN: a lot with a null cost makes the dashboard name the ingredient, not show a smaller number. SPEC: CLAUDE.md §4.13.",Day 9-10 — Honest money,Mia,Nikao,,money;reports,Week 2,To Do
Story,Add cost_source and make provisional suppress green everywhere,"WHAT: add cost_source to the lot; CogsDashboard.tsx:248 and generate-weekly-pnl.ts:115 must never render green on estimated costs. WHY: CLAUDE.md §4.14 — seed data is entirely estimates, so a green profit flag on guessed numbers is the shipping default today. DONE WHEN: net never renders green while any input is provisional. SPEC: CLAUDE.md §4.14.",Day 9-10 — Honest money,Mia,Nikao,,money;reports,Week 2,To Do
Story,"Implement UNAVAILABLE as a real, distinct render state","WHAT: the three render states — zeroes, UNAVAILABLE, provisional — must stay visually distinct; today UNAVAILABLE doesn't exist at all. WHY: CLAUDE.md §5 invariants. DONE WHEN: all three states are independently reachable and visually distinct in the dashboard and weekly summary. SPEC: CLAUDE.md §5.",Day 9-10 — Honest money,Mia,Nikao,,money;reports,Week 2,To Do
Epic,"Day 11 — Jobs, and the drill","WHAT: put checkLowStock, closeDaily (at the correct 00:05, not the route comment's claimed 23:59) and the collected sweep on the real scheduler with catch-up and audit rules, then run a real drill with three baristas on the actual tablet. WHY: there is no scheduler of any kind today; nothing has been tested with real people yet. DONE WHEN: jobs fire correctly on schedule; the drill surfaces what baristas hesitate on. SPEC: 05-the-two-week-plan.md Day 11.",,,,,alerts;setup,Week 2,Blocked — depends on Day 2's scheduler wiring
Story,Put checkLowStock and closeDaily on the real scheduler,"WHAT: wire both jobs to the scheduler built in Day 2, with catch-up and audit rules; fix closeDaily's actual fire time to 00:05 (not the 23:59 the route comment claims). WHY: four cron routes currently wait for a caller that doesn't exist. DONE WHEN: both jobs run automatically and on schedule in a real environment. SPEC: 05-the-two-week-plan.md Day 11.","Day 11 — Jobs, and the drill",Nikao,Mia,Wire a real scheduler for the four cron routes,alerts,Week 2,To Do
Story,Build the collected-order sweep job,WHAT: Job 5 from CLAUDE.md's scheduler register — currently absent entirely. WHY: named in the seven-job register (§9.6.2) as required. DONE WHEN: the sweep runs on schedule and its behaviour matches the register's description. SPEC: CLAUDE.md §9 project facts (six vs seven jobs note).,"Day 11 — Jobs, and the drill",Nikao,Mia,Put checkLowStock and closeDaily on the real scheduler,alerts,Week 2,To Do
Story,Run the real barista drill,"WHAT: three baristas, the actual tablet, twenty orders, the till never touched by a developer. WHY: this is the first time real people rather than tests touch the Week 1-2 changes. DONE WHEN: the drill is run and written up — what taps they hesitate on, what breaks. SPEC: 05-the-two-week-plan.md Day 11.","Day 11 — Jobs, and the drill",Both,Both,,pair,Week 2,To Do
Epic,"Day 12-14 — Trade, watch, fix","WHAT: two real weekdays of live service on the changes above; fix what the drill and the trading surface, in that order; go/no-go on the Friday. WHY: this is the only way to know the weekday push actually works. DONE WHEN: two weekdays trade cleanly; go/no-go decision recorded. SPEC: 05-the-two-week-plan.md Day 12-14, §7.",,,,,gate,Week 2,Blocked — depends on everything above
Story,Trade two real weekdays and fix what surfaces,WHAT: run two ordinary weekdays of live office-staff service on the new code; nobody ships a money change during them. WHY: 05-the-two-week-plan.md §6 — real trading is the only validation that matters at this point. DONE WHEN: both weekdays complete; issues from the drill and from trading are triaged and fixed in that order. SPEC: 05-the-two-week-plan.md Day 12-14.,"Day 12-14 — Trade, watch, fix",Both,Both,Run the real barista drill,gate,Week 2,To Do
Story,Friday go/no-go against §6,"WHAT: written decision, both names on it, against the six cannot-be-cut criteria in CLAUDE.md §6 / the two-week plan's own list. WHY: this is the actual go-live gate for weekday service. DONE WHEN: go/no-go is written and signed. SPEC: 05-the-two-week-plan.md §6; CLAUDE.md §6.","Day 12-14 — Trade, watch, fix",Both,Both,Trade two real weekdays and fix what surfaces,gate,Week 2,To Do
Epic,Cross-cutting — vendor and owner decisions gating the plan,"WHAT: the conversations and decisions that aren't code but block code from proceeding — Matt/Transformate, the surname question, agreeing what's deferred, calendar review blocks. WHY: 05-the-two-week-plan.md §7 — the binding constraint on this whole plan is human review throughput and vendor answers, not build speed. DONE WHEN: each item below is closed. SPEC: 05-the-two-week-plan.md §7-8.",,,,,vendor;waiting-on-someone-else,Week 1,In progress
Story,Agree the deferred list explicitly,"WHAT: both of you agree, in writing, on the §5 deferred list (Web POS tender chain, Sunday card sales, blessing fund, vouchers, ministry rollup, weekly ops summary rewrite, Yoco import, margin by shot count, comps/cancels/walk-ins). WHY: 05-the-two-week-plan.md §8 — if Nikao wants vouchers or the fund inside the fortnight, that's a real trade, not a soft one. DONE WHEN: the list is confirmed or amended before Day 1 work is treated as final. SPEC: 05-the-two-week-plan.md §5, §8.",Cross-cutting — vendor and owner decisions gating the plan,Both,,,vendor,Week 1,To Do
Story,Book two review blocks on the calendar,"WHAT: Thursday of week 1, Thursday-Friday of week 2, as actual calendar appointments. WHY: 05-the-two-week-plan.md §8 — unbooked review time does not happen, and Tier A work is capped at one in review at a time. DONE WHEN: both blocks exist on the calendar. SPEC: 05-the-two-week-plan.md §8.",Cross-cutting — vendor and owner decisions gating the plan,Both,,,,Week 1,To Do
Story,Confirm gh auth login is set up for Claude Code to push and open PRs,WHAT: verify gh auth login works on the machine Claude Code runs on. WHY: 05-the-two-week-plan.md §8 — needed so Claude can push branches and open PRs rather than only read. DONE WHEN: gh pr create succeeds from this machine. SPEC: 05-the-two-week-plan.md §8.,Cross-cutting — vendor and owner decisions gating the plan,Mia,,,setup,Week 1,Done — used throughout Days 1-4
Epic,Deferred backlog — explicitly out of the two-week scope,"WHAT: everything §5 of the two-week plan names as deferred, kept visible so nothing is silently dropped. WHY: 'named, not euphemised' — Sunday keeps working the way it works today throughout all of this. DONE WHEN: each item is picked up in a future phase, per the longer 11-phase roadmap in 00-overview-and-roadmap.md. SPEC: 05-the-two-week-plan.md §5; 00-overview-and-roadmap.md §3.",,,,,phase,Backlog (deferred),Not started
Story,The Web POS tender chain replacement,"WHAT: beginTender / sendToTerminal / pollTenderResult / recordTenderResult / resolveTenderByLookup — replacing src/server/yoco/ entirely, not editing it. WHY: the repo's Yoco integration is the online-checkout API with a webhook; v7 specifies the Web POS device API (poll and lookup, no webhook), with an undocumented terminal-linking step underneath (FACT-1). DONE WHEN: picked up as its own phase — see 00-overview-and-roadmap.md Phase 1. SPEC: 05-the-two-week-plan.md §5; 00-overview-and-roadmap.md Phase 1.",Deferred backlog — explicitly out of the two-week scope,Nikao,Mia,,payments;yoco;guesswork,Backlog (deferred),Not started
Story,Sunday card sales and the extra-shot surcharge,"WHAT: mixed paid/free orders, the surcharge rules, all riding on the Web POS tender chain above. WHY: cannot start before that chain exists. SPEC: 05-the-two-week-plan.md §5.",Deferred backlog — explicitly out of the two-week scope,Nikao,Mia,The Web POS tender chain replacement,payments;yoco,Backlog (deferred),Not started
Story,The blessing fund,"WHAT: 18 requirements, four new tables, eight new actions, a new admin surface. WHY: money-in rides entirely on the tender chain above; money-out is independent and cheap but still deferred. Needs HOFMI's bookkeeper to read DEC-15 before go-live. SPEC: 05-the-two-week-plan.md §5; 00-overview-and-roadmap.md Phase 5.",Deferred backlog — explicitly out of the two-week scope,Nikao,Mia,The Web POS tender chain replacement,fund;money;waiting-on-someone-else,Backlog (deferred),Not started
Story,Vouchers and the Untracked Church event mode,"WHAT: 9 requirements; discount_zar and opening_sessions.mode already land in the Day 5 migration so the ground is prepared. WHY: mid-sized, deferred rather than blocking. SPEC: 05-the-two-week-plan.md §5.",Deferred backlog — explicitly out of the two-week scope,Mia,Nikao,Write the Day 5 substrate migration,vouchers;events,Backlog (deferred),Not started
Story,The ministry rollup,WHAT: ministry_cost / ministry_income / ministry_net and the netted rollup view. WHY: the PRD's own 'most important unbuilt Priority-2 item' — entirely greenfield. SPEC: 05-the-two-week-plan.md §5; 00-overview-and-roadmap.md Phase 8.,Deferred backlog — explicitly out of the two-week scope,Nikao,Mia,,reports;money,Backlog (deferred),Not started
Story,The weekly ops summary rewrite,"WHAT: Monday 06:00 push, in-app screen, mode split, per-barista write-down block. WHY: blocked on comps and write-offs being attributable, which isn't built yet. SPEC: 05-the-two-week-plan.md §5.",Deferred backlog — explicitly out of the two-week scope,Mia,Nikao,,reports;alerts,Backlog (deferred),Not started
Story,The Yoco transaction import and reconciliation close,"WHAT: Job 6 and the write-off/reconciliation close, daily_closes included. WHY: named as deferred in §5, no dependency blocking it other than priority. SPEC: 05-the-two-week-plan.md §5.",Deferred backlog — explicitly out of the two-week scope,Nikao,Mia,,reports;money,Backlog (deferred),Not started
Story,Margin by shot count (REQ-139),"WHAT: the PRD calls it 'one GROUP BY', true only once a margin pipeline exists — none does today, no margin figure is computed server-side anywhere. WHY: depends on the Day 9-10 honest-money work landing first. SPEC: 05-the-two-week-plan.md §5.",Deferred backlog — explicitly out of the two-week scope,Mia,Nikao,Persist order_cogs as an integer in the same transaction as deduction,reports;money,Backlog (deferred),Not started
